Date,Total Records,Status,Verification,High,Low,Close,Next High,Next Low,Next Close
12/05/2022,26446,completed,passed,1965.77,1935.65,1938.76,1944.11,1922.13,1933.88
12/06/2022,19082,completed,passed,1944.11,1922.13,1933.88,1936.39,1916.19,1917.28
12/07/2022,20007,completed,passed,1936.39,1916.19,1917.28,1918.51,1883.09,1885.31
12/11/2022,24588,completed,passed,1918.51,1883.09,1885.31,1902.42,1868.65,1902.27
12/12/2022,22960,completed,passed,1902.42,1868.65,1902.27,1904.75,1888.82,1899.7
12/13/2022,16299,completed,passed,1904.75,1888.82,1899.7,1906.04,1893.01,1897.08
12/14/2022,16640,completed,passed,1906.04,1893.01,1897.08,1899,1880.16,1882.6
12/15/2022,22343,completed,passed,1899,1880.16,1882.6,1883.82,1850.96,1855.06
12/18/2022,26640,completed,passed,1883.82,1850.96,1855.06,1865.18,1849.19,1858.89
12/19/2022,30518,completed,passed,1865.18,1849.19,1858.89,1881.21,1858.57,1873.11
12/20/2022,23309,completed,passed,1881.21,1858.57,1873.11,1883.09,1864.7,1867.22
12/21/2022,20391,completed,passed,1883.09,1864.7,1867.22,1867.21,1850.58,1867.21
12/22/2022,23018,completed,passed,1867.21,1850.58,1867.21,1924.09,1866.37,1924.09
12/26/2022,38494,completed,passed,1924.09,1866.37,1924.09,1999.01,1928.81,1983.95
12/27/2022,62992,completed,passed,1999.01,1928.81,1983.95,1994.33,1961.57,1972.15
12/28/2022,39623,completed,passed,1994.33,1961.57,1972.15,2029.11,1962.42,2029.03
12/29/2022,45854,completed,passed,2029.11,1962.42,2029.03,2083.19,2030.25,2046.26
01/01/2023,62477,completed,passed,2083.19,2030.25,2046.26,2070.58,2028.32,2064.09
01/02/2023,48441,completed,passed,2070.58,2028.32,2064.09,2081.53,2050.57,2061.06
01/03/2023,53227,completed,passed,2081.53,2050.57,2061.06,2126.04,2066.57,2125.84
01/04/2023,57215,completed,passed,2126.04,2066.57,2125.84,2160.73,2113.32,2143.93
01/05/2023,71703,completed,passed,2160.73,2113.32,2143.93,2191.69,2126.47,2164.61
01/08/2023,75341,completed,passed,2191.69,2126.47,2164.61,2211.77,2161.03,2211.76
01/09/2023,74441,completed,passed,2211.77,2161.03,2211.76,2277.61,2178.19,2190.42
01/10/2023,109800,completed,passed,2277.61,2178.19,2190.42,2237.37,2143.97,2149.39
01/12/2023,82964,completed,passed,2237.37,2143.97,2149.39,2187.79,2136.38,2182.11
